Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2014,201401,Exports,United Kingdom,Afghanistan,"Milk and cream, neither concentrated nor sweetened",0401,3410
2014,201401,Exports,United Kingdom,Austria,"Milk and cream, neither concentrated nor sweetened",0401,316
2014,201401,Imports,United Kingdom,Belgium,"Milk and cream, neither concentrated nor sweetened",0401,4472349
2014,201401,Exports,United Kingdom,Belgium,"Milk and cream, neither concentrated nor sweetened",0401,5663128
2014,201401,Exports,United Kingdom,Br. Virgin Isds,"Milk and cream, neither concentrated nor sweetened",0401,34566
2014,201401,Exports,United Kingdom,Canada,"Milk and cream, neither concentrated nor sweetened",0401,51017
2014,201401,Exports,United Kingdom,China,"Milk and cream, neither concentrated nor sweetened",0401,265039
2014,201401,Exports,United Kingdom,Cyprus,"Milk and cream, neither concentrated nor sweetened",0401,18738
2014,201401,Imports,United Kingdom,Denmark,"Milk and cream, neither concentrated nor sweetened",0401,2233438
2014,201401,Exports,United Kingdom,Denmark,"Milk and cream, neither concentrated nor sweetened",0401,417
2014,201401,Exports,United Kingdom,Equatorial Guinea,"Milk and cream, neither concentrated nor sweetened",0401,3201
2014,201401,Exports,United Kingdom,Falkland Isds (Malvinas),"Milk and cream, neither concentrated nor sweetened",0401,26614
2014,201401,Exports,United Kingdom,Finland,"Milk and cream, neither concentrated nor sweetened",0401,141697
2014,201401,Imports,United Kingdom,France,"Milk and cream, neither concentrated nor sweetened",0401,1522872
2014,201401,Exports,United Kingdom,France,"Milk and cream, neither concentrated nor sweetened",0401,2919079
2014,201401,Imports,United Kingdom,Germany,"Milk and cream, neither concentrated nor sweetened",0401,1028700
2014,201401,Exports,United Kingdom,Germany,"Milk and cream, neither concentrated nor sweetened",0401,982240
2014,201401,Exports,United Kingdom,Gibraltar,"Milk and cream, neither concentrated nor sweetened",0401,11079
2014,201401,Exports,United Kingdom,Greece,"Milk and cream, neither concentrated nor sweetened",0401,20
2014,201401,Exports,United Kingdom,"China, Hong Kong SAR","Milk and cream, neither concentrated nor sweetened",0401,295201
2014,201401,Exports,United Kingdom,Hungary,"Milk and cream, neither concentrated nor sweetened",0401,4735
2014,201401,Imports,United Kingdom,Ireland,"Milk and cream, neither concentrated nor sweetened",0401,10676138
2014,201401,Exports,United Kingdom,Ireland,"Milk and cream, neither concentrated nor sweetened",0401,32069689
2014,201401,Imports,United Kingdom,Italy,"Milk and cream, neither concentrated nor sweetened",0401,4685
2014,201401,Exports,United Kingdom,Italy,"Milk and cream, neither concentrated nor sweetened",0401,947
2014,201401,Exports,United Kingdom,Rep. of Korea,"Milk and cream, neither concentrated nor sweetened",0401,2825
2014,201401,Imports,United Kingdom,Lithuania,"Milk and cream, neither concentrated nor sweetened",0401,5629
2014,201401,Exports,United Kingdom,Luxembourg,"Milk and cream, neither concentrated nor sweetened",0401,26
2014,201401,Exports,United Kingdom,Malta,"Milk and cream, neither concentrated nor sweetened",0401,9748
