Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2020,202001,January 2020,4,0,2,Exports,826,United Kingdom,,528,Netherlands,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,446708,,505945,,,0
HS,2020,202001,January 2020,4,0,2,Exports,826,United Kingdom,,757,Switzerland,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,286,,3048,,,0
HS,2020,202001,January 2020,4,0,2,Exports,826,United Kingdom,,842,United States of America,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,24315,,148700,,,0
HS,2020,202001,January 2020,4,0,2,Exports,826,United Kingdom,,251,France,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,558097,,940447,,,0
HS,2020,202001,January 2020,4,0,1,Imports,826,United Kingdom,,440,Lithuania,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,6048,,8500,,,0
HS,2020,202001,January 2020,4,0,1,Imports,826,United Kingdom,,40,Austria,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,34920,,37107,,,0
HS,2020,202001,January 2020,4,0,1,Imports,826,United Kingdom,,528,Netherlands,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,176153,,315774,,,0
HS,2020,202001,January 2020,4,0,1,Imports,826,United Kingdom,,276,Germany,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,627592,,450011,,,0
HS,2020,202001,January 2020,4,0,1,Imports,826,United Kingdom,,372,Ireland,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,6915717,,6875296,,,0
HS,2020,202001,January 2020,4,0,1,Imports,826,United Kingdom,,642,Romania,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,35482,,30122,,,0
HS,2020,202001,January 2020,4,0,1,Imports,826,United Kingdom,,381,Italy,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,16108,,27454,,,0
HS,2020,202001,January 2020,4,0,1,Imports,826,United Kingdom,,703,Slovakia,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,20422,,23646,,,0
HS,2020,202001,January 2020,4,0,1,Imports,826,United Kingdom,,752,Sweden,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,85613,,129702,,,0
HS,2020,202001,January 2020,4,0,1,Imports,826,United Kingdom,,203,Czech Rep.,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,23,,68,,,0
HS,2020,202001,January 2020,4,0,1,Imports,826,United Kingdom,,56,Belgium,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,388549,,371607,,,0
HS,2020,202001,January 2020,4,0,1,Imports,826,United Kingdom,,616,Poland,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,553920,,558887,,,0
