country,year,SP.DYN.LE00.IN
Afghanistan,2018,64.486
Albania,2018,78.458
Algeria,2018,76.693
American Samoa,2018,
Andorra,2018,
Angola,2018,60.782
Antigua and Barbuda,2018,76.885
Argentina,2018,76.52
Armenia,2018,74.945
Aruba,2018,76.152
Australia,2018,82.74878049
Austria,2018,81.69268293
Azerbaijan,2018,72.864
"Bahamas, The",2018,73.752
Bahrain,2018,77.163
Bangladesh,2018,72.32
Barbados,2018,79.081
Belarus,2018,74.17560976
Belgium,2018,81.59512195
Belize,2018,74.496
Benin,2018,61.47
Bermuda,2018,81.65170732
Bhutan,2018,71.46
Bolivia,2018,71.239
Bosnia and Herzegovina,2018,77.262
Botswana,2018,69.275
Brazil,2018,75.672
British Virgin Islands,2018,
Brunei Darussalam,2018,75.722
Bulgaria,2018,74.96341463
Burkina Faso,2018,61.174
Burundi,2018,61.247
Cabo Verde,2018,72.782
Cambodia,2018,69.57
Cameroon,2018,58.921
Canada,2018,82.04878049
Cayman Islands,2018,
Central African Republic,2018,52.805
Chad,2018,53.977
Channel Islands,2018,82.928
Chile,2018,80.042
China,2018,76.704
Colombia,2018,77.109
Comoros,2018,64.118
"Congo, Dem. Rep.",2018,60.368
"Congo, Rep.",2018,64.29
Costa Rica,2018,80.095
Cote d'Ivoire,2018,57.422
Croatia,2018,78.07073171
Cuba,2018,78.726
Curacao,2018,
Cyprus,2018,80.828
Czech Republic,2018,79.02926829
Denmark,2018,80.95365854
Djibouti,2018,66.582
Dominica,2018,
Dominican Republic,2018,73.892
Ecuador,2018,76.8
"Egypt, Arab Rep.",2018,71.825
El Salvador,2018,73.096
Equatorial Guinea,2018,58.402
Eritrea,2018,65.941
Estonia,2018,78.24390244
Eswatini,2018,59.401
Ethiopia,2018,66.24
Faroe Islands,2018,82.49512195
Fiji,2018,67.341
Finland,2018,81.73414634
France,2018,82.72439024
French Polynesia,2018,77.462
Gabon,2018,66.187
"Gambia, The",2018,61.735
Georgia,2018,73.6
Germany,2018,80.89268293
Ghana,2018,63.78
Gibraltar,2018,
Greece,2018,81.78780488
Greenland,2018,
Grenada,2018,72.384
Guam,2018,79.859
Guatemala,2018,74.063
Guinea,2018,61.185
Guinea-Bissau,2018,58.003
Guyana,2018,69.774
Haiti,2018,63.66
Honduras,2018,75.088
"Hong Kong SAR, China",2018,84.93414634
Hungary,2018,76.06585366
Iceland,2018,82.86097561
India,2018,69.416
Indonesia,2018,71.509
"Iran, Islamic Rep.",2018,76.479
Iraq,2018,70.454
Ireland,2018,82.25609756
Isle of Man,2018,
Israel,2018,82.80243902
Italy,2018,83.34634146
Jamaica,2018,74.368
Japan,2018,84.21097561
Jordan,2018,74.405
Kazakhstan,2018,73.15
Kenya,2018,66.342
Kiribati,2018,68.116
"Korea, Dem. People's Rep.",2018,72.095
"Korea, Rep.",2018,82.62682927
Kosovo,2018,72.24390244
Kuwait,2018,75.398
Kyrgyz Republic,2018,71.4
Lao PDR,2018,67.61
Latvia,2018,74.78292683
Lebanon,2018,78.875
Lesotho,2018,53.705
Liberia,2018,63.73
Libya,2018,72.724
Liechtenstein,2018,83.04146341
Lithuania,2018,75.6804878
Luxembourg,2018,82.29512195
"Macao SAR, China",2018,84.118
Madagascar,2018,66.681
Malawi,2018,63.798
Malaysia,2018,75.997
Maldives,2018,78.627
Mali,2018,58.893
Malta,2018,82.44878049
Marshall Islands,2018,
Mauritania,2018,64.704
Mauritius,2018,74.41634146
Mexico,2018,74.992
"Micronesia, Fed. Sts.",2018,67.755
Moldova,2018,71.808
Monaco,2018,
Mongolia,2018,69.689
Montenegro,2018,76.77
Morocco,2018,76.453
Mozambique,2018,60.163
Myanmar,2018,66.867
Namibia,2018,63.373
Nauru,2018,
Nepal,2018,70.478
Netherlands,2018,81.81219512
New Caledonia,2018,77.43414634
New Zealand,2018,81.85853659
Nicaragua,2018,74.275
Niger,2018,62.024
Nigeria,2018,54.332
North Macedonia,2018,75.688
Northern Mariana Islands,2018,
Norway,2018,82.75853659
Oman,2018,77.633
Pakistan,2018,67.114
Palau,2018,
Panama,2018,78.329
Papua New Guinea,2018,64.263
Paraguay,2018,74.131
Peru,2018,76.516
Philippines,2018,71.095
Poland,2018,77.60243902
Portugal,2018,81.32439024
Puerto Rico,2018,79.77819512
Qatar,2018,80.1
Romania,2018,75.35853659
Russian Federation,2018,72.66219512
Rwanda,2018,68.7
Samoa,2018,73.187
San Marino,2018,
Sao Tome and Principe,2018,70.17
Saudi Arabia,2018,74.998
Senegal,2018,67.665
Serbia,2018,75.8902439
Seychelles,2018,72.84146341
Sierra Leone,2018,54.309
Singapore,2018,83.29756098
Sint Maarten (Dutch part),2018,
Slovak Republic,2018,77.26585366
Slovenia,2018,81.37804878
Solomon Islands,2018,72.835
Somalia,2018,57.068
South Africa,2018,63.857
South Sudan,2018,57.604
Spain,2018,83.43170732
Sri Lanka,2018,76.812
St. Kitts and Nevis,2018,
St. Lucia,2018,76.057
St. Martin (French part),2018,79.82195122
St. Vincent and the Grenadines,2018,72.415
Sudan,2018,65.095
Suriname,2018,71.57
Sweden,2018,82.55853659
Switzerland,2018,83.75365854
Syrian Arab Republic,2018,71.779
Tajikistan,2018,70.879
Tanzania,2018,65.015
Thailand,2018,76.931
