Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2020,202001,January 2020,4,0,1,Imports,404,Kenya,,0,World,,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",,,,,,,170942,,451901,,,0
HS,2020,202001,January 2020,4,0,2,Exports,404,Kenya,,0,World,,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",,,,,,,2707905,,10207365,,,0
HS,2020,202001,January 2020,4,0,2,Exports,404,Kenya,,36,Australia,,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",,,,,,,105999,,470559,,,0
HS,2020,202001,January 2020,4,0,1,Imports,404,Kenya,,56,Belgium,,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",,,,,,,60,,874,,,0
HS,2020,202001,January 2020,4,0,2,Exports,404,Kenya,,56,Belgium,,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",,,,,,,503191,,1640361,,,0
HS,2020,202001,January 2020,4,0,2,Exports,404,Kenya,,124,Canada,,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",,,,,,,38500,,155879,,,0
HS,2020,202001,January 2020,4,0,1,Imports,404,Kenya,,180,Dem.Rep. of the Congo,,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",,,,,,,19200,,32448,,,0
HS,2020,202001,January 2020,4,0,1,Imports,404,Kenya,,208,Denmark,,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",,,,,,,5,,39,,,0
HS,2020,202001,January 2020,4,0,2,Exports,404,Kenya,,208,Denmark,,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",,,,,,,61047,,414832,,,0
HS,2020,202001,January 2020,4,0,2,Exports,404,Kenya,,246,Finland,,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",,,,,,,66614,,392250,,,0
