Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2020,202008,August 2020,4,0,1,Imports,404,Kenya,,894,Zambia,,,,,,,,,0603,"Flowers; cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",,,,,,,22,,69,,,0
HS,2020,202006,June 2020,4,0,2,Exports,404,Kenya,,0,World,,,,,,,,,0603,"Flowers; cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",,,,,,,8386230,,33686647,,,0
HS,2020,202006,June 2020,4,0,2,Exports,404,Kenya,,646,Rwanda,,,,,,,,,0603,"Flowers; cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",,,,,,,412,,936,,,0
HS,2020,202006,June 2020,4,0,2,Exports,404,Kenya,,842,United States of America,,,,,,,,,0603,"Flowers; cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",,,,,,,13016,,64186,,,0
HS,2020,202006,June 2020,4,0,2,Exports,404,Kenya,,757,Switzerland,,,,,,,,,0603,"Flowers; cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",,,,,,,211321,,811991,,,0
HS,2020,202006,June 2020,4,0,2,Exports,404,Kenya,,251,France,,,,,,,,,0603,"Flowers; cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",,,,,,,84925,,390820,,,0
HS,2020,202006,June 2020,4,0,2,Exports,404,Kenya,,490,"Other Asia, nes",,,,,,,,,0603,"Flowers; cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",,,,,,,109,,912,,,0
HS,2020,202006,June 2020,4,0,2,Exports,404,Kenya,,579,Norway,,,,,,,,,0603,"Flowers; cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",,,,,,,303641,,1454804,,,0
HS,2020,202006,June 2020,4,0,2,Exports,404,Kenya,,586,Pakistan,,,,,,,,,0603,"Flowers; cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",,,,,,,1888,,6378,,,0
HS,2020,202006,June 2020,4,0,2,Exports,404,Kenya,,591,Panama,,,,,,,,,0603,"Flowers; cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",,,,,,,483,,3107,,,0
HS,2020,202006,June 2020,4,0,2,Exports,404,Kenya,,616,Poland,,,,,,,,,0603,"Flowers; cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",,,,,,,4507,,13585,,,0
HS,2020,202006,June 2020,4,0,2,Exports,404,Kenya,,634,Qatar,,,,,,,,,0603,"Flowers; cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",,,,,,,22506,,86069,,,0
