Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2020,202009,Sep-20,4,0,1,Imports,842,United States of America,,381,Italy,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,17872,,146037,,,0
HS,2020,202009,Sep-20,4,0,1,Imports,842,United States of America,,484,Mexico,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,1818755,,3154731,,,0
HS,2020,202009,Sep-20,4,0,1,Imports,842,United States of America,,372,Ireland,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,31456,,129421,,,0
HS,2020,202009,Sep-20,4,0,1,Imports,842,United States of America,,36,Australia,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,15496,,203038,,,0
HS,2020,202009,Sep-20,4,0,1,Imports,842,United States of America,,392,Japan,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,199,,3870,,,0
HS,2020,202009,Sep-20,4,0,1,Imports,842,United States of America,,616,Poland,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,3874,,24034,,,0
HS,2020,202009,Sep-20,4,0,1,Imports,842,United States of America,,682,Saudi Arabia,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,8550,,12114,,,0
HS,2020,202009,Sep-20,4,0,1,Imports,842,United States of America,,208,Denmark,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,8930,,205602,,,0
HS,2020,202009,Sep-20,4,0,1,Imports,842,United States of America,,76,Brazil,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,3355,,26386,,,0
HS,2020,202009,Sep-20,4,0,1,Imports,842,United States of America,,826,United Kingdom,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,10135,,124617,,,0
HS,2020,202001,Jan-20,4,0,2,Exports,842,United States of America,,28,Antigua and Barbuda,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,,,35212,,,0
HS,2020,202001,Jan-20,4,0,2,Exports,842,United States of America,,52,Barbados,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,,,4669,,,0
HS,2020,202001,Jan-20,4,0,2,Exports,842,United States of America,,60,Bermuda,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,,,58539,,,0
HS,2020,202001,Jan-20,4,0,2,Exports,842,United States of America,,124,Canada,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,,,2046022,,,0
HS,2020,202001,Jan-20,4,0,2,Exports,842,United States of America,,144,Sri Lanka,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,,,3355,,,0
HS,2020,202001,Jan-20,4,0,2,Exports,842,United States of America,,156,China,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,,,41495,,,0
HS,2020,202001,Jan-20,4,0,2,Exports,842,United States of America,,188,Costa Rica,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,,,13122,,,0
HS,2020,202001,Jan-20,4,0,2,Exports,842,United States of America,,308,Grenada,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,,,13756,,,0
HS,2020,202001,Jan-20,4,0,2,Exports,842,United States of America,,344,"China, Hong Kong SAR",,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,,,215936,,,0
HS,2020,202001,Jan-20,4,0,2,Exports,842,United States of America,,528,Netherlands,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,,,3793,,,0
HS,2020,202001,Jan-20,4,0,2,Exports,842,United States of America,,531,Curaçao,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,,,4916,,,0
HS,2020,202001,Jan-20,4,0,2,Exports,842,United States of America,,533,Aruba,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,,,18576,,,0
HS,2020,202001,Jan-20,4,0,2,Exports,842,United States of America,,584,Marshall Isds,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,,,3037,,,0
HS,2020,202001,Jan-20,4,0,2,Exports,842,United States of America,,591,Panama,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,,,45502,,,0
