Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201801,January 2018,6,1,1,Imports,818,Egypt,,0,World,,,,,,,,,100119,"Cereals; wheat and meslin, durum wheat, other than seed",,,,,,,,,245802930,,,0
HS,2018,201801,January 2018,6,1,1,Imports,818,Egypt,,112,Belarus,,,,,,,,,100119,"Cereals; wheat and meslin, durum wheat, other than seed",,,,,,,,,14346108,,,0
HS,2018,201801,January 2018,6,1,1,Imports,818,Egypt,,616,Poland,,,,,,,,,100119,"Cereals; wheat and meslin, durum wheat, other than seed",,,,,,,,,3109606,,,0
HS,2018,201801,January 2018,6,1,1,Imports,818,Egypt,,643,Russian Federation,,,,,,,,,100119,"Cereals; wheat and meslin, durum wheat, other than seed",,,,,,,,,213776521,,,0
HS,2018,201801,January 2018,6,1,1,Imports,818,Egypt,,804,Ukraine,,,,,,,,,100119,"Cereals; wheat and meslin, durum wheat, other than seed",,,,,,,,,14570695,,,0
HS,2018,201802,February 2018,6,1,1,Imports,818,Egypt,,0,World,,,,,,,,,100119,"Cereals; wheat and meslin, durum wheat, other than seed",,,,,,,,,162397845,,,0
HS,2018,201802,February 2018,6,1,1,Imports,818,Egypt,,642,Romania,,,,,,,,,100119,"Cereals; wheat and meslin, durum wheat, other than seed",,,,,,,,,14471074,,,0
HS,2018,201802,February 2018,6,1,1,Imports,818,Egypt,,643,Russian Federation,,,,,,,,,100119,"Cereals; wheat and meslin, durum wheat, other than seed",,,,,,,,,135563547,,,0
HS,2018,201802,February 2018,6,1,1,Imports,818,Egypt,,804,Ukraine,,,,,,,,,100119,"Cereals; wheat and meslin, durum wheat, other than seed",,,,,,,,,12363224,,,0
HS,2018,201803,March 2018,6,1,1,Imports,818,Egypt,,0,World,,,,,,,,,100119,"Cereals; wheat and meslin, durum wheat, other than seed",,,,,,,,,267297002,,,0
HS,2018,201803,March 2018,6,1,1,Imports,818,Egypt,,36,Australia,,,,,,,,,100119,"Cereals; wheat and meslin, durum wheat, other than seed",,,,,,,,,17073599,,,0
HS,2018,201803,March 2018,6,1,1,Imports,818,Egypt,,100,Bulgaria,,,,,,,,,100119,"Cereals; wheat and meslin, durum wheat, other than seed",,,,,,,,,4853472,,,0
HS,2018,201803,March 2018,6,1,1,Imports,818,Egypt,,643,Russian Federation,,,,,,,,,100119,"Cereals; wheat and meslin, durum wheat, other than seed",,,,,,,,,228359424,,,0
