Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201703,March 2017,4,0,2,Exports,251,France,,442,Luxembourg,,,,,,,,,3006,Pharmaceutical goods,,,,,,,430,,32055,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,705,Slovenia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,69,,24712,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,710,South Africa,,,,,,,,,3006,Pharmaceutical goods,,,,,,,1136,,102777,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,246,Finland,,,,,,,,,3006,Pharmaceutical goods,,,,,,,33670,,101360,,,0
HS,2017,201703,March 2017,4,0,2,Exports,251,France,,686,Senegal,,,,,,,,,3006,Pharmaceutical goods,,,,,,,989,,29884,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,826,United Kingdom,,,,,,,,,3006,Pharmaceutical goods,,,,,,,4407,,635157,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,148,Chad,,,,,,,,,3006,Pharmaceutical goods,,,,,,,48,,4563,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,324,Guinea,,,,,,,,,3006,Pharmaceutical goods,,,,,,,170,,6551,,,0
HS,2017,201707,July 2017,4,0,1,Imports,251,France,,616,Poland,,,,,,,,,3006,Pharmaceutical goods,,,,,,,686,,185222,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,788,Tunisia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,545,,113314,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,458,Malaysia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,220,,19067,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,404,Kenya,,,,,,,,,3006,Pharmaceutical goods,,,,,,,2,,225,,,0
HS,2017,201701,January 2017,4,0,1,Imports,251,France,,484,Mexico,,,,,,,,,3006,Pharmaceutical goods,,,,,,,49,,7361,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,434,Libya,,,,,,,,,3006,Pharmaceutical goods,,,,,,,80,,7479,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,440,Lithuania,,,,,,,,,3006,Pharmaceutical goods,,,,,,,80,,28371,,,0
HS,2017,201705,May 2017,4,0,1,Imports,251,France,,0,World,,,,,,,,,3006,Pharmaceutical goods,,,,,,,845541,,49923447,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,100,Bulgaria,,,,,,,,,3006,Pharmaceutical goods,,,,,,,138,,23679,,,0
HS,2017,201703,March 2017,4,0,2,Exports,251,France,,214,Dominican Rep.,,,,,,,,,3006,Pharmaceutical goods,,,,,,,7,,3977,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,450,Madagascar,,,,,,,,,3006,Pharmaceutical goods,,,,,,,168,,19373,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,120,Cameroon,,,,,,,,,3006,Pharmaceutical goods,,,,,,,247,,16357,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,466,Mali,,,,,,,,,3006,Pharmaceutical goods,,,,,,,390,,21632,,,0
