Date,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
1/1/2014,1,-1,-2,-2,-3,-5,87,81,75,1027,1027,1026,10,10,10,21,14,,0,8,,227<br />
1/2/2014,-2,-3,-5,-4,-5,-6,93,87,80,1026,1026,1025,10,10,10,18,13,,0,8,,200<br />
1/3/2014,-1,-3,-4,-2,-4,-6,100,89,80,1026,1025,1024,10,7,3,21,11,32,0,8,Snow,134<br />
1/4/2014,-1,-2,-2,-3,-4,-5,93,85,80,1024,1023,1019,10,6,3,18,13,32,0,8,Snow,157<br />
1/5/2014,1,0,-1,1,-1,-3,100,93,81,1019,1017,1016,10,6,1,26,16,,0,8,Snow,195<br />
1/6/2014,1,0,0,1,0,-1,100,95,93,1018,1015,1013,10,3,0,14,8,26,0,8,Fog-Snow,130<br />
1/7/2014,2,1,0,1,1,0,100,100,93,1018,1016,1014,5,2,0,14,11,,0,8,Fog,124<br />
1/8/2014,3,2,1,2,2,1,100,98,93,1016,1011,1008,10,6,3,29,19,40,0,8,Rain-Snow,211<br />
1/9/2014,3,2,2,2,2,1,100,98,93,1008,1004,1003,10,3,0,21,16,,0,8,Fog-Rain,225<br />
1/10/2014,4,2,2,3,2,1,100,94,87,1004,997,987,10,9,3,26,18,40,0,8,Rain,184<br />
1/11/2014,4,0,-3,3,0,-5,100,93,86,995,987,984,10,8,2,35,18,50,0,8,Rain-Snow,236<br />
1/12/2014,1,-1,-3,0,-2,-4,100,93,86,998,996,992,10,6,2,35,21,47,0,8,Rain-Snow,225<br />
1/13/2014,1,-4,-8,0,-6,-10,100,91,80,1002,995,991,10,4,1,26,13,,0,8,Snow,320<br />
1/14/2014,-8,-10,-12,-10,-12,-14,93,83,79,1015,1010,1003,10,9,2,26,18,,0,8,Snow,286<br />
1/15/2014,-10,-12,-15,-11,-14,-17,93,88,79,1019,1017,1015,10,10,10,21,13,,0,7,Snow,240<br />
1/16/2014,-9,-10,-11,-11,-12,-13,93,87,85,1016,1009,1006,10,3,1,26,18,,0,8,Snow,42<br />
1/17/2014,-11,-13,-15,-13,-16,-17,92,82,79,1017,1012,1007,10,7,2,21,16,,0,7,Snow,315<br />
1/18/2014,-14,-17,-20,-16,-18,-22,92,87,78,1019,1018,1017,10,10,10,14,10,,0,7,Snow,313<br />
1/19/2014,-17,-19,-22,-18,-22,-24,92,83,77,1030,1025,1019,10,10,10,21,13,32,0,5,Snow,314<br />
1/20/2014,-11,-15,-19,-15,-17,-21,92,84,73,1032,1031,1030,10,10,10,14,6,,0,8,Snow,270<br />
1/21/2014,-13,-18,-22,-15,-19,-24,92,87,79,1032,1030,1028,10,8,5,11,6,,0,0,Fog,253<br />
1/22/2014,-16,-19,-22,-18,-22,-24,92,85,84,1028,1025,1024,10,6,0,14,6,,0,5,Fog,60<br />
1/23/2014,-14,-18,-22,-16,-20,-24,92,85,78,1024,1023,1023,10,7,5,21,13,,0,5,Snow,13<br />
1/24/2014,-13,-17,-20,-16,-19,-22,92,84,73,1029,1026,1023,10,10,10,21,16,,0,5,Snow,6<br />
1/25/2014,-12,-17,-22,-15,-19,-24,92,86,77,1030,1028,1027,10,9,5,18,8,,0,7,Snow,271<br />
1/26/2014,-10,-14,-18,-14,-16,-20,92,85,73,1028,1027,1027,10,10,10,14,8,,0,5,Snow,294<br />
1/27/2014,-11,-14,-17,-14,-15,-18,92,84,73,1030,1028,1026,10,9,5,14,8,,0,8,Snow,333<br />
1/28/2014,-12,-16,-19,-14,-19,-22,92,79,61,1039,1035,1030,10,9,5,26,16,,0,7,Snow,44<br />
1/29/2014,-19,-21,-24,-21,-23,-26,92,79,66,1048,1044,1039,10,10,10,26,18,,0,6,Snow,72<br />
1/30/2014,-17,-21,-26,-24,-26,-29,84,72,43,1052,1051,1048,8,8,8,18,10,,0,3,,95<br />
1/31/2014,-13,-19,-25,-21,-24,-27,84,67,44,1053,1053,1052,,,,14,8,,0,,,225<br />
2/1/2014,-10,-14,-18,-21,-23,-25,72,51,38,1051,1048,1044,,,,18,11,,0,,,179<br />
2/2/2014,-7,-9,-11,-14,-18,-22,67,51,41,1044,1039,1033,,,,26,18,43,0,,,180<br />
2/3/2014,-7,-9,-11,-11,-13,-15,74,70,58,1033,1028,1023,,,,26,21,40,0,,,223<br />
2/4/2014,-3,-6,-7,-4,-7,-11,93,87,74,1024,1023,1022,10,10,7,26,19,,0,8,Snow,275<br />
2/5/2014,-3,-4,-5,-4,-5,-6,100,94,86,1024,1022,1020,10,8,2,18,11,,0,8,,238<br />
2/6/2014,-4,-7,-8,-6,-8,-9,100,85,69,1020,1016,1014,8,7,2,14,11,29,0,8,Snow,171<br />
2/7/2014,-3,-8,-12,-4,-8,-13,100,88,74,1014,1012,1011,10,5,1,14,11,32,0,6,Snow,138<br />
2/8/2014,0,-2,-4,-1,-3,-4,100,94,87,1013,1012,1012,3,2,1,14,10,,0,8,Snow,146<br />
2/9/2014,1,0,-1,-1,-1,-3,100,91,86,1014,1012,1011,10,6,2,21,13,35,0,8,Snow,145<br />
2/10/2014,-2,-3,-5,-3,-5,-7,93,89,86,1015,1014,1014,10,7,5,21,16,32,0,8,Snow,128<br />
2/11/2014,-4,-4,-5,-5,-6,-6,100,92,86,1015,1014,1013,10,6,0,18,14,,0,8,Rain-Snow,116<br />
2/12/2014,2,-1,-4,1,-2,-5,100,95,87,1014,1012,1010,10,5,1,21,11,32,0,8,Fog-Snow,170<br />
2/13/2014,2,1,1,2,0,-1,100,93,87,1015,1011,1008,10,7,1,21,11,32,0,8,Fog-Rain,156<br />
2/14/2014,4,2,1,3,2,1,100,98,93,1009,1009,1008,5,2,0,18,6,32,0,8,Fog,151<br />
2/15/2014,3,2,1,2,1,0,100,97,93,1015,1012,1009,10,7,0,18,11,32,0,8,Fog-Rain,205<br />
2/16/2014,2,1,1,1,-1,-2,100,91,75,1015,1014,1010,10,7,1,14,10,,0,8,Fog,198<br />
2/17/2014,1,0,0,1,0,-1,100,95,87,1009,1006,1004,10,6,1,21,16,,0,8,Snow,207<br />
2/18/2014,2,1,1,1,0,-1,93,91,87,1005,1003,1002,10,9,3,26,18,,0,8,Rain-Snow,235<br />
2/19/2014,1,-1,-2,0,-2,-4,100,85,75,1008,1006,1003,10,8,1,32,23,47,0,6,Snow,258<br />
2/20/2014,1,-2,-4,-3,-4,-5,100,83,69,1008,1005,1003,10,10,10,18,6,,0,6,,318<br />
2/21/2014,-1,-4,-7,-3,-7,-8,93,79,60,1021,1014,1008,10,10,5,18,10,,0,5,Snow,2<br />
2/22/2014,-1,-4,-7,-2,-6,-9,93,82,69,1023,1023,1021,10,9,2,21,13,,0,7,Rain-Snow,123<br />
2/23/2014,2,0,-1,2,1,-2,100,96,93,1027,1023,1020,10,5,1,21,16,,0,8,Rain-Snow,195<br />
2/24/2014,2,1,1,1,0,-1,100,90,81,1035,1032,1027,10,9,1,21,14,,0,8,Fog,217<br />
2/25/2014,3,1,-1,0,-4,-8,93,71,45,1037,1036,1035,10,9,7,18,13,35,0,6,,196<br />
2/26/2014,3,-2,-6,-8,-11,-16,80,51,24,1036,1035,1032,,,,18,10,40,0,,,109<br />
2/27/2014,4,-1,-6,-10,-13,-15,63,44,28,1032,1029,1026,,,,18,11,,0,,,128<br />
2/28/2014,4,-2,-8,-12,-14,-17,73,41,22,1026,1024,1022,,,,14,10,32,0,,,128<br />
3/1/2014,2,-3,-8,-6,-10,-16,79,56,34,1022,1021,1020,10,10,10,14,10,32,0,6,,102<br />
3/2/2014,-1,-2,-3,-3,-6,-7,93,77,64,1020,1019,1019,10,8,3,18,11,29,0,8,Snow,124<br />
3/3/2014,3,0,-2,-1,-2,-4,100,87,65,1019,1018,1018,10,6,2,21,8,35,0,8,Snow,96<br />
