"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Number of infant deaths","SH.DTH.IMRT","","","","106871","107406","107973","108594","109332","110025","110613","111214","111739","112240","112468","112448","112113","111293","109863","107907","105387","102335","98784","94845","90824","86905","83260","80192","77818","76242","75505","75591","76527","78068","79961","82028","84102","85980","87552","88705","89438","89703","89479","88842","87916","86723","85285","83559","81572","79334","76979","74524","71996","69517","67069","64829","62701","60766","59005","57394","55797","",
"Angola","AGO","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","57984","59503","61079","62852","64794","66841","68954","71168","73352","75621","77861","80117","82426","84575","86640","88473","89935","91174","92116","92708","93029","93027","92611","91658","90374","88615","86550","84107","81618","79043","76308","73627","71229","69089","67296","65936","64774","64019","63216","",
"Albania","ALB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","5017","4713","4439","4192","3979","3788","3613","3448","3287","3131","2974","2818","2661","2501","2340","2179","2016","1853","1693","1541","1396","1261","1136","1017","908","807","716","637","568","510","461","420","384","355","331","314","301","294","290","289","290","",
"Andorra","AND","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","6","6","6","6","6","6","6","5","5","5","5","5","5","5","5","4","4","4","4","4","4","4","3","3","3","3","2","2","2","2","2","2","",
"Arab World","ARB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450072","439290","428732","418325","407914","397505","387301","377403","367889","358933","350637","343094","336363","330522","325494","321238","317679","314357","311243","308505","306166","304202","302300","299804","296706","293087","288691","283808","278971","273955","",
"United Arab Emirates","ARE","Number of infant deaths","SH.DTH.IMRT","","606","611","617","623","628","633","637","641","646","654","667","683","703","724","746","767","786","801","812","817","816","812","805","794","782","765","745","722","699","673","647","620","595","571","549","532","517","507","501","501","506","518","534","552","573","595","617","638","655","668","677","682","684","682","679","672","663","653","641","",
"Argentina","ARG","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","31899","32331","32797","33193","33383","33201","32506","31205","29393","27329","25311","23450","21783","20382","19288","18533","18095","17957","18041","18177","18187","17994","17583","16991","16284","15547","14834","14166","13556","13020","12568","12165","11781","11400","11041","10728","10464","10242","10043","9823","9550","9220","8856","8477","8090","7705","7320","6937","6560","6204","",
"Armenia","ARM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","4409","4381","4354","4322","4289","4251","4203","4135","4047","3931","3783","3917","3396","3163","2905","2632","2356","2088","1840","1620","1433","1281","1163","1076","1015","972","940","913","887","859","831","800","767","732","697","660","625","590","556","523","490","458","427","",
"American Samoa","ASM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
