Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201908,August 2019,6,1,2,Exports,251,France,,203,Czech Rep.,,,,,,,,,711311,"Jewellery; of silver, whether or not plated or clad with other precious metal, and parts thereof",,,,,,,66,,77969,,,0
HS,2019,201904,April 2019,6,1,2,Exports,251,France,,124,Canada,,,,,,,,,711311,"Jewellery; of silver, whether or not plated or clad with other precious metal, and parts thereof",,,,,,,28,,32726,,,0
HS,2019,201904,April 2019,6,1,2,Exports,251,France,,100,Bulgaria,,,,,,,,,711311,"Jewellery; of silver, whether or not plated or clad with other precious metal, and parts thereof",,,,,,,16,,16261,,,0
HS,2019,201907,July 2019,6,1,2,Exports,251,France,,152,Chile,,,,,,,,,711311,"Jewellery; of silver, whether or not plated or clad with other precious metal, and parts thereof",,,,,,,2,,188,,,0
HS,2019,201904,April 2019,6,1,2,Exports,251,France,,203,Czech Rep.,,,,,,,,,711311,"Jewellery; of silver, whether or not plated or clad with other precious metal, and parts thereof",,,,,,,33,,44960,,,0
HS,2019,201906,June 2019,6,1,1,Imports,251,France,,899,"Areas, nes",,,,,,,,,711311,"Jewellery; of silver, whether or not plated or clad with other precious metal, and parts thereof",,,,,,,147,,810589,,,0
HS,2019,201904,April 2019,6,1,2,Exports,251,France,,191,Croatia,,,,,,,,,711311,"Jewellery; of silver, whether or not plated or clad with other precious metal, and parts thereof",,,,,,,1,,70,,,0
HS,2019,201906,June 2019,6,1,1,Imports,251,France,,208,Denmark,,,,,,,,,711311,"Jewellery; of silver, whether or not plated or clad with other precious metal, and parts thereof",,,,,,,16,,518,,,0
HS,2019,201906,June 2019,6,1,2,Exports,251,France,,480,Mauritius,,,,,,,,,711311,"Jewellery; of silver, whether or not plated or clad with other precious metal, and parts thereof",,,,,,,9,,9802,,,0
HS,2019,201906,June 2019,6,1,2,Exports,251,France,,579,Norway,,,,,,,,,711311,"Jewellery; of silver, whether or not plated or clad with other precious metal, and parts thereof",,,,,,,0,,521,,,0
HS,2019,201906,June 2019,6,1,2,Exports,251,France,,540,New Caledonia,,,,,,,,,711311,"Jewellery; of silver, whether or not plated or clad with other precious metal, and parts thereof",,,,,,,2,,5813,,,0
HS,2019,201908,August 2019,6,1,2,Exports,251,France,,616,Poland,,,,,,,,,711311,"Jewellery; of silver, whether or not plated or clad with other precious metal, and parts thereof",,,,,,,24,,18485,,,0
HS,2019,201907,July 2019,6,1,1,Imports,251,France,,36,Australia,,,,,,,,,711311,"Jewellery; of silver, whether or not plated or clad with other precious metal, and parts thereof",,,,,,,1,,507,,,0
HS,2019,201906,June 2019,6,1,2,Exports,251,France,,484,Mexico,,,,,,,,,711311,"Jewellery; of silver, whether or not plated or clad with other precious metal, and parts thereof",,,,,,,1,,4001,,,0
HS,2019,201904,April 2019,6,1,1,Imports,251,France,,484,Mexico,,,,,,,,,711311,"Jewellery; of silver, whether or not plated or clad with other precious metal, and parts thereof",,,,,,,27,,22378,,,0
HS,2019,201904,April 2019,6,1,1,Imports,251,France,,442,Luxembourg,,,,,,,,,711311,"Jewellery; of silver, whether or not plated or clad with other precious metal, and parts thereof",,,,,,,3,,3221,,,0
HS,2019,201904,April 2019,6,1,1,Imports,251,France,,418,Lao People's Dem. Rep.,,,,,,,,,711311,"Jewellery; of silver, whether or not plated or clad with other precious metal, and parts thereof",,,,,,,3,,99,,,0
HS,2019,201906,June 2019,6,1,1,Imports,251,France,,842,United States of America,,,,,,,,,711311,"Jewellery; of silver, whether or not plated or clad with other precious metal, and parts thereof",,,,,,,62,,421184,,,0
HS,2019,201906,June 2019,6,1,1,Imports,251,France,,124,Canada,,,,,,,,,711311,"Jewellery; of silver, whether or not plated or clad with other precious metal, and parts thereof",,,,,,,1,,1228,,,0
HS,2019,201904,April 2019,6,1,2,Exports,251,France,,752,Sweden,,,,,,,,,711311,"Jewellery; of silver, whether or not plated or clad with other precious metal, and parts thereof",,,,,,,18,,13499,,,0
HS,2019,201908,August 2019,6,1,2,Exports,251,France,,203,Czech Rep.,,,,,,,,,711319,"Jewellery; of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof",,,,,,,238,,631760,,,0
HS,2019,201907,July 2019,6,1,2,Exports,251,France,,233,Estonia,,,,,,,,,711319,"Jewellery; of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof",,,,,,,1,,3903,,,0
HS,2019,201904,April 2019,6,1,2,Exports,251,France,,124,Canada,,,,,,,,,711319,"Jewellery; of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof",,,,,,,62,,626167,,,0
HS,2019,201904,April 2019,6,1,2,Exports,251,France,,100,Bulgaria,,,,,,,,,711319,"Jewellery; of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof",,,,,,,95,,373090,,,0
HS,2019,201904,April 2019,6,1,2,Exports,251,France,,203,Czech Rep.,,,,,,,,,711319,"Jewellery; of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof",,,,,,,202,,538228,,,0
HS,2019,201906,June 2019,6,1,1,Imports,251,France,,899,"Areas, nes",,,,,,,,,711319,"Jewellery; of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof",,,,,,,198,,428141730,,,0
HS,2019,201904,April 2019,6,1,2,Exports,251,France,,724,Spain,,,,,,,,,711319,"Jewellery; of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof",,,,,,,1498,,4798971,,,0
