country,year,NY.GDP.PCAP.PP.CD
Arab World,2018,14985.31584
Caribbean small states,2018,16165.56583
Central Europe and the Baltics,2018,31908.22384
Early-demographic dividend,2018,9409.499965
East Asia & Pacific,2018,17429.94956
East Asia & Pacific (excluding high income),2018,14060.24819
East Asia & Pacific (IDA & IBRD countries),2018,14208.06884
Euro area,2018,47551.78994
Europe & Central Asia,2018,35684.48294
Europe & Central Asia (excluding high income),2018,22224.71761
Europe & Central Asia (IDA & IBRD countries),2018,23386.20795
European Union,2018,44637.55854
Fragile and conflict affected situations,2018,4893.471932
Heavily indebted poor countries (HIPC),2018,2574.386992
High income,2018,50334.11473
IBRD only,2018,13347.07297
IDA & IBRD total,2018,10915.70035
IDA blend,2018,4987.538791
IDA only,2018,3297.089585
IDA total,2018,3859.15499
Late-demographic dividend,2018,17246.93764
Latin America & Caribbean,2018,16545.51567
Latin America & Caribbean (excluding high income),2018,15981.76382
Latin America & the Caribbean (IDA & IBRD countries),2018,16489.37014
Least developed countries: UN classification,2018,2992.225239
Low & middle income,2018,10632.60406
Low income,2018,2409.800047
Lower middle income,2018,6527.655847
Middle East & North Africa,2018,16887.7097
Middle East & North Africa (excluding high income),2018,11054.39386
Middle East & North Africa (IDA & IBRD countries),2018,11109.1352
Middle income,2018,11583.75668
North America,2018,61683.6686
Not classified,2018,
OECD members,2018,45048.09208
Other small states,2018,23259.68307
Pacific island small states,2018,7592.241132
Post-demographic dividend,2018,49451.1314
Pre-demographic dividend,2018,3575.732752
Small states,2018,21021.30173
South Asia,2018,6195.761491
South Asia (IDA & IBRD),2018,6195.761491
Sub-Saharan Africa,2018,3849.086623
Sub-Saharan Africa (excluding high income),2018,3824.652701
Sub-Saharan Africa (IDA & IBRD countries),2018,3849.086623
Upper middle income,2018,16687.06412
World,2018,17038.92042
Afghanistan,2018,2083.321897
Albania,2018,13546.47379
Algeria,2018,11925.79856
American Samoa,2018,
Andorra,2018,
Angola,2018,7102.405887
Antigua and Barbuda,2018,21630.17951
Argentina,2018,23313.81794
Armenia,2018,13024.69481
Aruba,2018,
Australia,2018,50252.84046
Austria,2018,57050.35135
Azerbaijan,2018,14555.79673
"Bahamas, The",2018,37921.31116
Bahrain,2018,47353.11838
Bangladesh,2018,4549.617646
Barbados,2018,16056.68927
Belarus,2018,19345.28019
Belgium,2018,52668.17244
