country,year,NY.GDP.MKTP.CD
Arab World,2019,2.82E+12
Caribbean small states,2019,77721714918
Central Europe and the Baltics,2019,1.67E+12
Early-demographic dividend,2019,1.20E+13
East Asia & Pacific,2019,2.69E+13
East Asia & Pacific (excluding high income),2019,1.72E+13
East Asia & Pacific (IDA & IBRD countries),2019,1.71E+13
Euro area,2019,1.34E+13
Europe & Central Asia,2019,2.28E+13
Europe & Central Asia (excluding high income),2019,3.25E+12
Europe & Central Asia (IDA & IBRD countries),2019,4.16E+12
European Union,2019,1.56E+13
Fragile and conflict affected situations,2019,1.78E+12
Heavily indebted poor countries (HIPC),2019,7.83E+11
High income,2019,5.51E+13
IBRD only,2019,3.15E+13
IDA & IBRD total,2019,3.39E+13
IDA blend,2019,9.92E+11
IDA only,2019,1.33E+12
IDA total,2019,2.32E+12
Late-demographic dividend,2019,2.29E+13
Latin America & Caribbean,2019,5.73E+12
Latin America & Caribbean (excluding high income),2019,5.15E+12
Latin America & the Caribbean (IDA & IBRD countries),2019,5.49E+12
Least developed countries: UN classification,2019,1.11E+12
Low & middle income,2019,3.26E+13
Low income,2019,5.42E+11
Lower middle income,2019,6.33E+12
Middle East & North Africa,2019,3.65E+12
Middle East & North Africa (excluding high income),2019,
Middle East & North Africa (IDA & IBRD countries),2019,
Middle income,2019,3.21E+13
North America,2019,2.32E+13
Not classified,2019,
OECD members,2019,5.37E+13
Other small states,2019,4.32E+11
Pacific island small states,2019,10634784073
Post-demographic dividend,2019,5.08E+13
Pre-demographic dividend,2019,1.40E+12
Small states,2019,5.20E+11
South Asia,2019,3.59E+12
South Asia (IDA & IBRD),2019,3.59E+12
Sub-Saharan Africa,2019,1.77E+12
Sub-Saharan Africa (excluding high income),2019,1.75E+12
Sub-Saharan Africa (IDA & IBRD countries),2019,1.77E+12
Upper middle income,2019,2.57E+13
World,2019,8.77E+13
Afghanistan,2019,19291104008
Albania,2019,15279183290
Algeria,2019,1.71E+11
American Samoa,2019,
Andorra,2019,3154057987
Angola,2019,88815697793
Antigua and Barbuda,2019,1661962963
Argentina,2019,4.45E+11
Armenia,2019,13672802158
Aruba,2019,
Australia,2019,1.40E+12
Austria,2019,4.45E+11
Azerbaijan,2019,48047647059
"Bahamas, The",2019,13578800000
Bahrain,2019,38574069149
Bangladesh,2019,3.03E+11
Barbados,2019,5209000000
Belarus,2019,63080457023
Belgium,2019,5.33E+11
Belize,2019,1879613600
Benin,2019,14390709095
Bermuda,2019,7484113000
Bhutan,2019,2530547158
Bolivia,2019,40895322844
Bosnia and Herzegovina,2019,20164193807
Botswana,2019,18340480936
Brazil,2019,1.84E+12
British Virgin Islands,2019,
Brunei Darussalam,2019,13469422959
Bulgaria,2019,68558815112
Burkina Faso,2019,15990803570
Burundi,2019,3012334882
Cabo Verde,2019,1981845740
Cambodia,2019,27089389787
Cameroon,2019,39007354359
Canada,2019,1.74E+12
Cayman Islands,2019,
Central African Republic,2019,2220307369
Chad,2019,11314951343
Channel Islands,2019,
