country,year,SP.DYN.LE00.IN
Arab World,2019,71.98970958
Caribbean small states,2019,73.75474041
Central Europe and the Baltics,2019,77.14419226
Early-demographic dividend,2019,70.70120138
East Asia & Pacific,2019,76.26244365
East Asia & Pacific (excluding high income),2019,75.40250594
East Asia & Pacific (IDA & IBRD countries),2019,75.44133635
Euro area,2019,82.04017169
Europe & Central Asia,2019,78.03359224
Europe & Central Asia (excluding high income),2019,73.86152337
Europe & Central Asia (IDA & IBRD countries),2019,74.29802349
European Union,2019,81.06600475
Fragile and conflict affected situations,2019,61.7806699
Heavily indebted poor countries (HIPC),2019,63.48645536
High income,2019,80.78817048
IBRD only,2019,73.60672571
IDA & IBRD total,2019,71.27077721
IDA blend,2019,62.40899713
IDA only,2019,65.6133437
IDA total,2019,64.53630883
Late-demographic dividend,2019,76.43412342
Latin America & Caribbean,2019,75.60149522
Latin America & Caribbean (excluding high income),2019,75.40726039
Latin America & the Caribbean (IDA & IBRD countries),2019,75.52038792
Least developed countries: UN classification,2019,65.34542106
Low & middle income,2019,71.19833778
Low income,2019,63.83511105
Lower middle income,2019,68.64323806
Middle East & North Africa,2019,74.27058887
Middle East & North Africa (excluding high income),2019,73.77758947
Middle East & North Africa (IDA & IBRD countries),2019,73.77423584
Middle income,2019,72.05151409
North America,2019,79.12338635
Not classified,2019,
OECD members,2019,80.20584316
Other small states,2019,68.82186817
Pacific island small states,2019,70.07973827
Post-demographic dividend,2019,80.79583155
Pre-demographic dividend,2019,61.17597803
Small states,2019,69.77084191
South Asia,2019,69.64361739
South Asia (IDA & IBRD),2019,69.64361739
Sub-Saharan Africa,2019,61.62744265
Sub-Saharan Africa (excluding high income),2019,61.61192069
Sub-Saharan Africa (IDA & IBRD countries),2019,61.62744265
Upper middle income,2019,75.52868603
World,2019,72.74217075
Afghanistan,2019,64.833
Albania,2019,78.573
Algeria,2019,76.88
American Samoa,2019,
Andorra,2019,
Angola,2019,61.147
Antigua and Barbuda,2019,77.016
Argentina,2019,76.667
Armenia,2019,75.087
Aruba,2019,76.293
Australia,2019,82.9
Austria,2019,81.79268293
Azerbaijan,2019,73.005
"Bahamas, The",2019,73.918
Bahrain,2019,77.292
Bangladesh,2019,72.591
Barbados,2019,79.19
