Date,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
01/01/2014,12,4,-2,-12,-17,-20,44,19,7,1019,1015,1012,31,11,5,32,16,47,0,,,291<br />
02/01/2014,7,0,-6,-6,-9,-13,74,50,28,1021,1018,1015,18,7,3,18,5,,0,,,20<br />
03/01/2014,9,3,-2,-7,-13,-18,64,32,9,1026,1022,1018,31,13,5,18,8,,0,,,24<br />
04/01/2014,2,-2,-6,-4,-7,-9,80,68,44,1026,1023,1020,10,5,2,11,5,,0,2,,56<br />
05/01/2014,7,0,-7,-5,-11,-15,80,51,15,1028,1025,1021,31,7,3,18,10,,0,,,18<br />
06/01/2014,0,-2,-3,-4,-5,-7,80,72,61,1028,1026,1024,5,3,2,14,5,,0,8,Snow,130<br />
07/01/2014,5,0,-5,-4,-12,-25,86,45,6,1033,1027,1024,31,6,2,18,8,,0,8,,7<br />
08/01/2014,1,-4,-8,-20,-23,-28,36,21,6,1036,1034,1032,31,30,26,32,14,47,0,,,344<br />
09/01/2014,1,-6,-12,-21,-26,-35,41,19,4,1035,1032,1029,31,24,10,26,11,43,0,,,321<br />
10/01/2014,5,-4,-13,-18,-23,-29,48,25,5,1032,1031,1029,23,12,5,21,6,47,0,,,349<br />
11/01/2014,5,-4,-13,-13,-20,-27,57,29,8,1032,1030,1027,8,6,3,29,6,,0,,,343<br />
12/01/2014,4,-3,-9,-19,-23,-28,38,18,5,1039,1036,1032,31,20,7,32,16,32,0,,,339<br />
13/01/2014,3,-4,-12,-12,-19,-23,58,35,9,1034,1032,1029,10,6,3,6,5,,0,,,41<br />
