Country Name,Year,NY.GDP.PCAP.CD
Aruba,2015,27980.8807
Afghanistan,2015,578.4663529
Angola,2015,4166.979684
Albania,2015,3952.801215
Andorra,2015,35762.52307
Arab World,2015,6400.36035
United Arab Emirates,2015,38663.38381
Argentina,2015,13789.06042
Armenia,2015,3607.296697
American Samoa,2015,11843.33118
Antigua and Barbuda,2015,14286.09316
Australia,2015,56755.72171
Austria,2015,44178.04738
Azerbaijan,2015,5500.310382
Burundi,2015,305.5497728
Belgium,2015,40991.80814
Benin,2015,1076.797716
Burkina Faso,2015,653.3269795
Bangladesh,2015,1248.453398
Bulgaria,2015,7055.935673
Bahrain,2015,22634.11865
"Bahamas, The",2015,31295.06208
Bosnia and Herzegovina,2015,4727.277712
Belarus,2015,5949.106307
Belize,2015,4775.955648
Bermuda,2015,102005.6256
Bolivia,2015,3035.972214
Brazil,2015,8814.000987
Barbados,2015,16525.07325
Brunei Darussalam,2015,31164.56203
Bhutan,2015,2752.664208
Botswana,2015,6799.870178
Central African Republic,2015,377.4230017
Canada,2015,43585.51198
Central Europe and the Baltics,2015,12513.20184
Switzerland,2015,82081.59716
Channel Islands,2015,
Chile,2015,13574.17183
China,2015,8066.942635
Cote d'Ivoire,2015,1972.546108
Cameroon,2015,1327.503017
"Congo, Dem. Rep.",2015,497.3169608
"Congo, Rep.",2015,2461.49417
Colombia,2015,6175.87603
Comoros,2015,1242.60319
Cabo Verde,2015,3043.013984
Costa Rica,2015,11299.13554
Caribbean small states,2015,10083.96487
Cuba,2015,7694.01192
Curacao,2015,19951.3279
Cayman Islands,2015,76280.48662
Cyprus,2015,23333.71491
Czech Republic,2015,17829.69832
Germany,2015,41086.72967
Djibouti,2015,2658.978753
Dominica,2015,7596.435062
Denmark,2015,53254.85637
Dominican Republic,2015,6921.517228
Algeria,2015,4187.509727
East Asia & Pacific (excluding high income),2015,6522.749115
Early-demographic dividend,2015,3302.729122
East Asia & Pacific,2015,9598.287726
Europe & Central Asia (excluding high income),2015,7472.89502
Europe & Central Asia,2015,22554.46725
Ecuador,2015,6124.491643
"Egypt, Arab Rep.",2015,3562.932735
Euro area,2015,34370.78718
Eritrea,2015,
Spain,2015,25732.01836
Estonia,2015,17522.23019
Ethiopia,2015,640.5418913
European Union,2015,30469.62439
Fragile and conflict affected situations,2015,2364.247697
Finland,2015,42784.69836
Fiji,2015,5390.745258
France,2015,36638.18493
Faroe Islands,2015,52404.65933
"Micronesia, Fed. Sts.",2015,2906.376785
Gabon,2015,7384.71587
United Kingdom,2015,44974.83188
Georgia,2015,4014.185944
Ghana,2015,1743.850996
Gibraltar,2015,
Guinea,2015,769.2560137
"Gambia, The",2015,660.7235712
Guinea-Bissau,2015,603.4011182
Equatorial Guinea,2015,11283.46561
Greece,2015,18167.77373
Grenada,2015,9096.870646
Greenland,2015,44536.40131
Guatemala,2015,3994.636913
Guam,2015,35278.92594
Guyana,2015,5576.833337
High income,2015,39734.91096
"Hong Kong SAR, China",2015,42431.88828
Honduras,2015,2302.201379
Heavily indebted poor countries (HIPC),2015,942.4578521
Croatia,2015,11781.73479
Haiti,2015,1389.11952
Hungary,2015,12706.89121
IBRD only,2015,5581.960559
IDA & IBRD total,2015,4540.028878
IDA total,2015,1376.563719
IDA blend,2015,1949.312703
Indonesia,2015,3331.695128
IDA only,2015,1079.850928
Isle of Man,2015,85124.92498
India,2015,1605.605434
Not classified,2015,
Ireland,2015,61995.4228
"Iran, Islamic Rep.",2015,4904.326877
Iraq,2015,4989.803075
Iceland,2015,52564.42918
Israel,2015,35776.79516
Italy,2015,30230.2263
Jamaica,2015,4907.50372
Jordan,2015,4164.107876
Japan,2015,34524.46986
Kazakhstan,2015,10510.77189
Kenya,2015,1336.883349
Kyrgyz Republic,2015,1121.082835
Cambodia,2015,1162.90492
Kiribati,2015,1542.57525
St. Kitts and Nevis,2015,18028.97343
"Korea, Rep.",2015,28732.23108
Kuwait,2015,29869.52939
Latin America & Caribbean (excluding high income),2015,8475.776301
Lao PDR,2015,2134.711796
Lebanon,2015,7644.548657
Liberia,2015,710.3838577
Libya,2015,4337.919139
St. Lucia,2015,10093.89976
Latin America & Caribbean,2015,8884.945429
Least developed countries: UN classification,2015,1026.104916
Low income,2015,884.7883101
Liechtenstein,2015,167290.94
Sri Lanka,2015,3843.780672
Lower middle income,2015,1884.581757
Low & middle income,2015,4417.789209
Lesotho,2015,1152.139829
Late-demographic dividend,2015,8218.989904
Lithuania,2015,14258.22933
Luxembourg,2015,101376.4966
Latvia,2015,13774.60527
"Macao SAR, China",2015,75340.98698
St. Martin (French part),2015,
Morocco,2015,2875.257985
Monaco,2015,166011.5091
Moldova,2015,2732.457113
Madagascar,2015,467.2353994
Maldives,2015,9033.439867
Middle East & North Africa,2015,7383.279894
Mexico,2015,9616.645006
Marshall Islands,2015,3213.837288
