Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201809,Sep-18,4,0,2,Exports,124,Canada,,842,United States of America,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,402721,,454116,,,0
HS,2018,201804,Apr-18,4,0,2,Exports,124,Canada,,842,United States of America,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,605400,,600205,,,0
HS,2018,201808,Aug-18,4,0,2,Exports,124,Canada,,666,Saint Pierre and Miquelon,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,348,,267,,,0
HS,2018,201808,Aug-18,4,0,2,Exports,124,Canada,,344,"China, Hong Kong SAR",,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,13270,,9021,,,0
HS,2018,201802,Feb-18,4,0,1,Imports,124,Canada,,616,Poland,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,5131,,3233,,,0
HS,2018,201811,Nov-18,4,0,1,Imports,124,Canada,,842,United States of America,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,0,,2410695,,,0
HS,2018,201811,Nov-18,4,0,2,Exports,124,Canada,,0,World,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,576414,,609215,,,0
HS,2018,201806,Jun-18,4,0,1,Imports,124,Canada,,616,Poland,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,3464,,1793,,,0
HS,2018,201808,Aug-18,4,0,1,Imports,124,Canada,,56,Belgium,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,10408,,4976,,,0
HS,2018,201805,May-18,4,0,2,Exports,124,Canada,,0,World,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,869481,,806376,,,0
HS,2018,201801,Jan-18,4,0,2,Exports,124,Canada,,666,Saint Pierre and Miquelon,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,948,,767,,,0
HS,2018,201801,Jan-18,4,0,2,Exports,124,Canada,,156,China,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,4324,,2870,,,0
HS,2018,201801,Jan-18,4,0,2,Exports,124,Canada,,344,"China, Hong Kong SAR",,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,12793,,9052,,,0
HS,2018,201805,May-18,4,0,1,Imports,124,Canada,,0,World,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,0,,1401428,,,0
HS,2018,201804,Apr-18,4,0,1,Imports,124,Canada,,842,United States of America,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,3856767,,1806906,,,0
HS,2018,201801,Jan-18,4,0,1,Imports,124,Canada,,842,United States of America,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,2168570,,1091581,,,0
HS,2018,201801,Jan-18,4,0,1,Imports,124,Canada,,0,World,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,2233772,,1336457,,,0
HS,2018,201810,Oct-18,4,0,1,Imports,124,Canada,,842,United States of America,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,0,,2291205,,,0
HS,2018,201803,Mar-18,4,0,2,Exports,124,Canada,,156,China,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,284885,,181792,,,0
HS,2018,201803,Mar-18,4,0,2,Exports,124,Canada,,344,"China, Hong Kong SAR",,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,15296,,10272,,,0
HS,2018,201803,Mar-18,4,0,2,Exports,124,Canada,,666,Saint Pierre and Miquelon,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,1228,,954,,,0
HS,2018,201810,Oct-18,4,0,1,Imports,124,Canada,,0,World,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,0,,2491172,,,0
HS,2018,201812,Dec-18,4,0,2,Exports,124,Canada,,251,France,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,721,,986,,,0
HS,2018,201807,Jul-18,4,0,1,Imports,124,Canada,,251,France,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,,,177,,,0
HS,2018,201807,Jul-18,4,0,2,Exports,124,Canada,,344,"China, Hong Kong SAR",,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,11876,,7929,,,0
HS,2018,201807,Jul-18,4,0,2,Exports,124,Canada,,666,Saint Pierre and Miquelon,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,203,,161,,,0
HS,2018,201807,Jul-18,4,0,1,Imports,124,Canada,,276,Germany,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,35900,,16508,,,0
HS,2018,201807,Jul-18,4,0,1,Imports,124,Canada,,56,Belgium,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,2900,,4370,,,0
HS,2018,201812,Dec-18,4,0,1,Imports,124,Canada,,208,Denmark,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,20563,,114711,,,0
HS,2018,201812,Dec-18,4,0,1,Imports,124,Canada,,703,Slovakia,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,1,,6,,,0
HS,2018,201812,Dec-18,4,0,1,Imports,124,Canada,,528,Netherlands,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,57577,,209004,,,0
HS,2018,201812,Dec-18,4,0,2,Exports,124,Canada,,842,United States of America,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,582605,,621667,,,0
HS,2018,201810,Oct-18,4,0,2,Exports,124,Canada,,842,United States of America,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,517916,,551582,,,0
HS,2018,201804,Apr-18,4,0,1,Imports,124,Canada,,0,World,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,5766702,,2099538,,,0
HS,2018,201802,Feb-18,4,0,2,Exports,124,Canada,,251,France,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,113,,89,,,0
HS,2018,201807,Jul-18,4,0,2,Exports,124,Canada,,251,France,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,70,,53,,,0
HS,2018,201803,Mar-18,4,0,1,Imports,124,Canada,,842,United States of America,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,0,,1836987,,,0
HS,2018,201810,Oct-18,4,0,2,Exports,124,Canada,,0,World,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,581306,,592538,,,0
HS,2018,201804,Apr-18,4,0,1,Imports,124,Canada,,616,Poland,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,6301,,1664,,,0
HS,2018,201804,Apr-18,4,0,1,Imports,124,Canada,,276,Germany,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,1820787,,19498,,,0
HS,2018,201802,Feb-18,4,0,1,Imports,124,Canada,,276,Germany,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,21600,,16446,,,0
HS,2018,201802,Feb-18,4,0,2,Exports,124,Canada,,842,United States of America,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,303210,,337476,,,0
HS,2018,201808,Aug-18,4,0,2,Exports,124,Canada,,0,World,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,477130,,517562,,,0
HS,2018,201806,Jun-18,4,0,2,Exports,124,Canada,,0,World,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,582632,,595854,,,0
HS,2018,201811,Nov-18,4,0,1,Imports,124,Canada,,0,World,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,0,,2506397,,,0
HS,2018,201809,Sep-18,4,0,2,Exports,124,Canada,,0,World,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,515669,,526049,,,0
