Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2020,202001,Jan-20,6,1,1,Imports,826,United Kingdom,,372,Ireland,,,,,,,,,330420,Cosmetic and toilet preparations; eye make-up,,,,,,,1278,,86788,,,0
HS,2020,202001,Jan-20,6,1,1,Imports,826,United Kingdom,,372,Ireland,,,,,,,,,330410,Cosmetic and toilet preparations; lip make-up,,,,,,,6559,,357943,,,0
HS,2020,202001,Jan-20,6,1,1,Imports,826,United Kingdom,,381,Italy,,,,,,,,,330410,Cosmetic and toilet preparations; lip make-up,,,,,,,6877,,657496,,,0
HS,2020,202001,Jan-20,6,1,1,Imports,826,United Kingdom,,381,Italy,,,,,,,,,330420,Cosmetic and toilet preparations; eye make-up,,,,,,,51519,,2535831,,,0
HS,2020,202001,Jan-20,6,1,1,Imports,826,United Kingdom,,56,Belgium,,,,,,,,,330420,Cosmetic and toilet preparations; eye make-up,,,,,,,2776,,366259,,,0
HS,2020,202001,Jan-20,6,1,1,Imports,826,United Kingdom,,56,Belgium,,,,,,,,,330410,Cosmetic and toilet preparations; lip make-up,,,,,,,6796,,691825,,,0
HS,2020,202001,Jan-20,6,1,1,Imports,826,United Kingdom,,528,Netherlands,,,,,,,,,330410,Cosmetic and toilet preparations; lip make-up,,,,,,,9113,,737762,,,0
HS,2020,202001,Jan-20,6,1,1,Imports,826,United Kingdom,,528,Netherlands,,,,,,,,,330420,Cosmetic and toilet preparations; eye make-up,,,,,,,9061,,626010,,,0
HS,2020,202001,Jan-20,6,1,1,Imports,826,United Kingdom,,276,Germany,,,,,,,,,330420,Cosmetic and toilet preparations; eye make-up,,,,,,,9170,,917911,,,0
HS,2020,202001,Jan-20,6,1,1,Imports,826,United Kingdom,,276,Germany,,,,,,,,,330410,Cosmetic and toilet preparations; lip make-up,,,,,,,12567,,690084,,,0
HS,2020,202001,Jan-20,6,1,1,Imports,826,United Kingdom,,842,United States of America,,,,,,,,,330410,Cosmetic and toilet preparations; lip make-up,,,,,,,66333,,2359258,,,0
HS,2020,202001,Jan-20,6,1,1,Imports,826,United Kingdom,,842,United States of America,,,,,,,,,330420,Cosmetic and toilet preparations; eye make-up,,,,,,,34286,,1814089,,,0
HS,2020,202001,Jan-20,4,0,1,Imports,826,United Kingdom,,842,United States of America,,,,,,,,,3304,"Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations",,,,,,,965071,,27190183,,,0
HS,2020,202001,Jan-20,4,0,1,Imports,826,United Kingdom,,699,India,,,,,,,,,3304,"Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations",,,,,,,87865,,391823,,,0
HS,2020,202001,Jan-20,4,0,1,Imports,826,United Kingdom,,757,Switzerland,,,,,,,,,3304,"Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations",,,,,,,33859,,1451835,,,0
HS,2020,202001,Jan-20,6,1,1,Imports,826,United Kingdom,,757,Switzerland,,,,,,,,,330420,Cosmetic and toilet preparations; eye make-up,,,,,,,165,,10139,,,0
HS,2020,202001,Jan-20,6,1,1,Imports,826,United Kingdom,,490,"Other Asia, nes",,,,,,,,,330420,Cosmetic and toilet preparations; eye make-up,,,,,,,42531,,955205,,,0
HS,2020,202001,Jan-20,4,0,1,Imports,826,United Kingdom,,490,"Other Asia, nes",,,,,,,,,3304,"Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations",,,,,,,193190,,3618722,,,0
HS,2020,202001,Jan-20,6,1,1,Imports,826,United Kingdom,,490,"Other Asia, nes",,,,,,,,,330410,Cosmetic and toilet preparations; lip make-up,,,,,,,7896,,159181,,,0
