Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2020,202001,January 2020,4,0,1,Imports,404,Kenya,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,8054350,,4863634,,,0
HS,2020,202001,January 2020,4,0,2,Exports,404,Kenya,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,13578,,15914,,,0
HS,2020,202001,January 2020,4,0,2,Exports,404,Kenya,,728,South Sudan,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,270,,480,,,0
HS,2020,202001,January 2020,4,0,1,Imports,404,Kenya,,800,Uganda,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,8054350,,4863634,,,0
HS,2020,202001,January 2020,4,0,2,Exports,404,Kenya,,800,Uganda,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,12384,,14166,,,0
HS,2020,202001,January 2020,4,0,2,Exports,404,Kenya,,837,Bunkers,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,924,,1268,,,0
HS,2020,202002,February 2020,4,0,1,Imports,404,Kenya,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,5588630,,3456994,,,0
HS,2020,202002,February 2020,4,0,2,Exports,404,Kenya,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,1819,,3511,,,0
HS,2020,202002,February 2020,4,0,1,Imports,404,Kenya,,208,Denmark,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,7290,,24552,,,0
HS,2020,202002,February 2020,4,0,1,Imports,404,Kenya,,646,Rwanda,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,24000,,14616,,,0
HS,2020,202002,February 2020,4,0,2,Exports,404,Kenya,,728,South Sudan,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,572,,695,,,0
HS,2020,202002,February 2020,4,0,1,Imports,404,Kenya,,800,Uganda,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,5557340,,3417826,,,0
HS,2020,202002,February 2020,4,0,2,Exports,404,Kenya,,837,Bunkers,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,1247,,2816,,,0
HS,2020,202003,March 2020,4,0,1,Imports,404,Kenya,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,6345880,,3896646,,,0
HS,2020,202003,March 2020,4,0,2,Exports,404,Kenya,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,23996,,25099,,,0
HS,2020,202003,March 2020,4,0,1,Imports,404,Kenya,,56,Belgium,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,4200,,2838,,,0
HS,2020,202003,March 2020,4,0,2,Exports,404,Kenya,,180,Dem.Rep. of the Congo,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,14504,,14160,,,0
HS,2020,202003,March 2020,4,0,2,Exports,404,Kenya,,276,Germany,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,50,,1174,,,0
HS,2020,202003,March 2020,4,0,1,Imports,404,Kenya,,646,Rwanda,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,24000,,14421,,,0
HS,2020,202003,March 2020,4,0,2,Exports,404,Kenya,,728,South Sudan,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,306,,318,,,0
HS,2020,202003,March 2020,4,0,1,Imports,404,Kenya,,800,Uganda,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,6317680,,3879387,,,0
HS,2020,202003,March 2020,4,0,2,Exports,404,Kenya,,800,Uganda,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,5082,,5483,,,0
HS,2020,202003,March 2020,4,0,2,Exports,404,Kenya,,837,Bunkers,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,4054,,3964,,,0
HS,2020,202004,April 2020,4,0,1,Imports,404,Kenya,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,7981260,,4973837,,,0
HS,2020,202004,April 2020,4,0,2,Exports,404,Kenya,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,2048,,2248,,,0
HS,2020,202004,April 2020,4,0,1,Imports,404,Kenya,,646,Rwanda,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,24000,,14930,,,0
HS,2020,202004,April 2020,4,0,2,Exports,404,Kenya,,728,South Sudan,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,120,,347,,,0
HS,2020,202004,April 2020,4,0,1,Imports,404,Kenya,,800,Uganda,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,7957260,,4958907,,,0
HS,2020,202004,April 2020,4,0,2,Exports,404,Kenya,,837,Bunkers,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,1928,,1901,,,0
HS,2020,202005,May 2020,4,0,1,Imports,404,Kenya,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,5177483,,3277721,,,0
HS,2020,202005,May 2020,4,0,2,Exports,404,Kenya,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,3735,,3733,,,0
HS,2020,202005,May 2020,4,0,1,Imports,404,Kenya,,276,Germany,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,7893,,38210,,,0
HS,2020,202005,May 2020,4,0,1,Imports,404,Kenya,,646,Rwanda,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,48000,,29657,,,0
HS,2020,202005,May 2020,4,0,2,Exports,404,Kenya,,728,South Sudan,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,2710,,2414,,,0
HS,2020,202005,May 2020,4,0,1,Imports,404,Kenya,,800,Uganda,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,5121590,,3209854,,,0
