Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2020,202001,Exports,Kenya,South Sudan,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,480
2020,202001,Imports,Kenya,Uganda,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,4863634
2020,202001,Exports,Kenya,Uganda,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,14166
2020,202001,Exports,Kenya,Bunkers,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1268
2020,202002,Imports,Kenya,Denmark,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,24552
2020,202002,Imports,Kenya,Rwanda,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,14616
2020,202002,Exports,Kenya,South Sudan,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,695
2020,202002,Imports,Kenya,Uganda,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,3417826
2020,202002,Exports,Kenya,Bunkers,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,2816
2020,202003,Imports,Kenya,Belgium,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,2838
2020,202003,Exports,Kenya,Dem.Rep. of the Congo,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,14160
2020,202003,Exports,Kenya,Germany,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1174
2020,202003,Imports,Kenya,Rwanda,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,14421
2020,202003,Exports,Kenya,South Sudan,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,318
2020,202003,Imports,Kenya,Uganda,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,3879387
2020,202003,Exports,Kenya,Uganda,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,5483
2020,202003,Exports,Kenya,Bunkers,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,3964
2020,202004,Imports,Kenya,Rwanda,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,14930
2020,202004,Exports,Kenya,South Sudan,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,347
2020,202004,Imports,Kenya,Uganda,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,4958907
2020,202004,Exports,Kenya,Bunkers,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1901
2020,202005,Imports,Kenya,Germany,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,38210
2020,202005,Imports,Kenya,Rwanda,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,29657
