Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2015,201505,201505,4,0,0,X,826,United Kingdom,GBR,136,Cayman Isds,CYM,0,World,W00,C00,All CPCs,0,All MOTs,0409,Honey; natural,-1,N/A,,-1,N/A,,169,,1290,,1290.632,0
H4,2015,201505,201505,4,0,0,X,826,United Kingdom,GBR,690,Seychelles,SYC,0,World,W00,C00,All CPCs,0,All MOTs,0409,Honey; natural,-1,N/A,,-1,N/A,,270,,1522,,1522.76,0
H4,2015,201505,201505,4,0,0,X,826,United Kingdom,GBR,804,Ukraine,UKR,0,World,W00,C00,All CPCs,0,All MOTs,0409,Honey; natural,-1,N/A,,-1,N/A,,360,,4441,,4441.382,0
H4,2015,201505,201505,4,0,0,X,826,United Kingdom,GBR,400,Jordan,JOR,0,World,W00,C00,All CPCs,0,All MOTs,0409,Honey; natural,-1,N/A,,-1,N/A,,501,,5420,,5420.963,0
H4,2015,201505,201505,4,0,0,X,826,United Kingdom,GBR,352,Iceland,ISL,0,World,W00,C00,All CPCs,0,All MOTs,0409,Honey; natural,-1,N/A,,-1,N/A,,287,,2715,,2715.898,0
H4,2015,201505,201505,4,0,0,X,826,United Kingdom,GBR,484,Mexico,MEX,0,World,W00,C00,All CPCs,0,All MOTs,0409,Honey; natural,-1,N/A,,-1,N/A,,21129,,84411,,84411.026,0
H4,2015,201505,201505,4,0,0,X,826,United Kingdom,GBR,705,Slovenia,SVN,0,World,W00,C00,All CPCs,0,All MOTs,0409,Honey; natural,-1,N/A,,-1,N/A,,181,,3452,,3452.517,0
H4,2015,201505,201505,4,0,0,X,826,United Kingdom,GBR,764,Thailand,THA,0,World,W00,C00,All CPCs,0,All MOTs,0409,Honey; natural,-1,N/A,,-1,N/A,,580,,4110,,4110.213,0
H4,2015,201505,201505,4,0,0,X,826,United Kingdom,GBR,566,Nigeria,NGA,0,World,W00,C00,All CPCs,0,All MOTs,0409,Honey; natural,-1,N/A,,-1,N/A,,15348,,67860,,67860.3,0
H4,2015,201505,201505,4,0,0,X,826,United Kingdom,GBR,458,Malaysia,MYS,0,World,W00,C00,All CPCs,0,All MOTs,0409,Honey; natural,-1,N/A,,-1,N/A,,183,,1247,,1247.301,0
