Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201901,Jan-19,4,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,74310618,,36751737,,,0
HS,2019,201907,Jul-19,4,0,2,Exports,826,United Kingdom,,381,Italy,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,200149,,127900,,,0
HS,2019,201903,Mar-19,4,0,2,Exports,826,United Kingdom,,276,Germany,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,603325,,1474426,,,0
HS,2019,201903,Mar-19,4,0,1,Imports,826,United Kingdom,,348,Hungary,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,325,,672,,,0
HS,2019,201903,Mar-19,4,0,1,Imports,826,United Kingdom,,100,Bulgaria,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,70962,,56347,,,0
HS,2019,201909,Sep-19,4,0,1,Imports,826,United Kingdom,,208,Denmark,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,32742,,26766,,,0
HS,2019,201909,Sep-19,4,0,1,Imports,826,United Kingdom,,203,Czech Rep.,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,10,,62,,,0
HS,2019,201909,Sep-19,4,0,1,Imports,826,United Kingdom,,442,Luxembourg,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,41,,1392,,,0
HS,2019,201909,Sep-19,4,0,1,Imports,826,United Kingdom,,620,Portugal,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,2635,,3607,,,0
HS,2019,201909,Sep-19,4,0,1,Imports,826,United Kingdom,,348,Hungary,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,640,,1466,,,0
